id,title,author,url,fulltext_url,archive_url,entry_type,date,publisher,series,ISSN,ISBN,DOI,QID,volume,issue,pages,edition,language,license,key_type,taxon,scope,region,complete,target_taxa,part_of,,,,,,,,,,,
B26,British freshwater Megaloptera and Neuroptera: a key with ecological notes,J M Elliot,,,,print,1996,Freshwater Biological Association,Freshwater Biological Association Scientific Publication,0367-1887,9780900386565,,,54,,,,en-GB,,key; reference,Megaloptera; Neuroptera,freshwater species,"Europe, UK",TRUE,species,,,,,,,,,,,,
B27,"Freshwater Megaloptera and Neuroptera of Britain and Ireland: Keys to Adults and Larvae, and a Review of their Ecology",J M Elliot,,,,print,2009,Freshwater Biological Association,Freshwater Biological Association Scientific Publication,0367-1887,9780900386770,,,,,71,5,en-GB,,key; reference,Megaloptera; Neuroptera,freshwater species,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B28,Caddisfly Adults of Britain & Ireland,Stuart M Crofts,,,,print,,Freshwater Biological Association,,,9780900386831,,,,,,,en-GB,,key,Trichoptera,,"Europe, UK; Europe, Ireland",TRUE,family,,,,,,,,,,,,
B29,Netvinger og Skorpionsfluer,P Esben-Petersen,,http://www.biodiversitylibrary.org/item/111365#page/5/mode/1up,,print,1929,Gads Forlag,Danmarks Fauna,0070-2757,,,,33,,134,,da,CC-BY-NC-SA-3.0,key; reference,Neuroptera; Mecoptera,larvae,"Europe, Denmark",,species,,,,,,,,,,,,
B30,Mayfly Larvae (Ephemeroptera) of Britain and Ireland: Keys and a Review of their Ecology,J M Elliot; U H Humpesch,,,,print,2010,Freshwater Biological Association,,,9780900386787,,,,,152,,en-GB,,key; reference,Ephemeroptera,nypmhs,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B31,Larvae of the British Ephemeroptera: a key with ecological notes,J M Elliot; U H Humpesch; T T Macan,,,,print,1988,Freshwater Biological Association,Freshwater Biological Association Scientific Publication,0367-1887,9780900386473,,,49,,145,,en-GB,,key; reference,Ephemeroptera,nypmhs,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B32,Welke micro zag ik?,www.microlepidoptera.nl,https://www.microvlinders.nl/soorten/zoeksoort.php,https://www.microvlinders.nl/soorten/zoeksoort.php,,online,,,,,,,,,,,,nl-NL,,matrix,Lepidoptera,microlepidopera,"Europe, Netherlands",FALSE,species,,,,,,,,,,,,
B33,Determinatie van Libellen,Goyatlah,https://libellen.goyatlah.nl/taxa/index.html,https://libellen.goyatlah.nl/taxa/index.html,,online,,,,,,,,,,,,nl-NL,,key; reference,Odonata,imagines; nypmhs,"Europe, Netherlands",TRUE,species,,,,,,,,,,,,
B34,Naaktslakkentabel,Stef Keulen; Aart van den Berg,https://commons.wikimedia.org/wiki/File:Naaktslakkentabel-1515763562.jpg,https://commons.wikimedia.org/wiki/File:Naaktslakkentabel-1515763562.jpg,,online,,,,,,,,,,,,nl-NL,CC-BY-SA-4.0,key,Stylommatophora,,"Europe, Netherlands",TRUE,species,,,,,,,,,,,,
B35,Determinatie hulp,Kees van der Krieke; Johan Bogaert,http://www.stippen.nl/symtabel.php,http://www.stippen.nl/symtabel.php,,online,,,,,,,,,,,,nl-NL,,matrix; reference,Coccinellidae,,"Europe, Netherlands",TRUE,species,,,,,,,,,,,,
B36,Spiders of Europe,Wolfgang Nentwig; Theo Blick; Robert Bosmans; Daniel Gloor; Ambros Hänggi; Christian Kropf,https://araneae.nmbe.ch/key,https://araneae.nmbe.ch/key,,online,2021,,,,,10.24436/1,Q59785126,,,,6,en,,key; reference,Araneae,,Europe,FALSE,species,,,,,,,,,,,,
B37,Determinatiesleutel voor de Zoetwatervissen van Vlaanderen,Claude Belpaire; Hugo Verreycken,https://pureportal.inbo.be/nl/publications/determinatiesleutel-voor-de-zoetwatervissen-van-vlaanderen,https://pureportal.inbo.be/files/5539284/Belpaire_Verreycken_2007_DeterminatiesleutelZoetwatervissenVlaanderen.pdf,,print,2007,Instituut voor Natuur- en Bosonderzoek,Mededelingen van het Instituut voor Natuur- en Bosonderzoek,,9789040302732,,,,,47,,nl-BE,,key,Agnatha; Chondrichthyes; Osteichthyes,freshwater species,"Europe, Belgium, Vlaanderen",TRUE,species,,,,,,,,,,,,
B38,Die Bestimmung der in Deutschland vorkommenden Hydropsychidae (Insecta: Trichoptera); The identification of the German Hydropsychidae (Insecta: Trichoptera),Peter J Neu; Wolfgang Tobias,,https://www.zobodat.at/pdf/Lauterbornia_2004_51_0001-0068.pdf,,print,2004-10-01,Enk Mauch Verlag,Lauterbornia,,,,,51,,,,de-DE; en,,key; reference,Hydropsychidae,,"Europe, Germany",TRUE,species,,,,,,,,,,,,
B39,Aphidophagous predator diagnosis: Key to genera of European chrysopid larvae (Neur.: Chrysopidae),Luisa M Díaz-Aranda; Victor Jose Monserrat,https://link.springer.com/article/10.1007%2FBF02373066,,,print,1995-06,,BioControl,1386-6141,,10.1007/BF02373066,Q107685693,40,,,,en; fr,,key,Chrysopidae,larvae,Europe,TRUE,genus,,,,,,,,,,,,
B40,Revision of Stenocranus Fieb. (Hom.) and its allied species in Japan-Empire,S Matsumura,https://eprints.lib.hokudai.ac.jp/dspace/handle/2115/9297,https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/9297/1/9%284%29_p125-140.pdf,,print,1935-06-01,,Insecta matsumurana,,,,Q106624676,9,4,,,en,,key,Stenocranus; Numata; Hikona; Chloriona; Noda; Unkana,,"Asia, Empire of Japan",TRUE,species,,,,,,,,,,,,
B41,Adelidae (Lepidoptera) - Beitrag zur Kenntnis der Biologie und Bestimmungshilfe für die europäischen,Arten Rudolf Bryner,https://dx.doi.org/10.5169/seals-880881,https://www.e-periodica.ch/digbib/view?pid=cnh-001%3A2020%3A0,,print,2020,,Contributions to Natural History,,,10.5169/seals-880881,,38,,,,de,,key,Adelidae,,Europe,,species,,,,,,,,,,,,
B42,Het zweefvliegengenus Sphegina in Nederland (Diptera: Syrphidae),John T Smit,https://repository.naturalis.nl/pub/218689,https://repository.naturalis.nl/pub/218689/NFM16_085-090.pdf,,print,2002,Naturalis,Nederlandse Faunistische Mededelingen,0169-2453,,,,16,,,,nl-NL,CC-BY-4.0,key,Sphegina,,"Europe, Netherlands",TRUE,species,,,,,,,,,,,,
B43,De Nederlandse zweefvliegen (Diptera: Syrphidae),Menno Reemer; Willem Renema; Wouter van Steenis; Theo Zeegers; Aat Barendregt; John T Smit; Mark P van Veen; Jeroen van Steenis; Laurens J J M van der Leij,https://www.bestuivers.nl/publicaties/de-nederlandse-zweefvliegen,https://www.bestuivers.nl/Portals/5/EBooks/Zweefvliegen/files/downloads/Reemer_etal_2009_Zweefvliegen.pdf,,print,2009,Naturalis; KNNV Uitgeverij; EIS,Nederlandse Fauna,1386-3762,9789063910051,,,8,,442,,nl-NL,CC-BY-3.0-NL,reference,Syrphidae,,"Europe, Netherlands",TRUE,species,,,,,,,,,,,,
B44,Tabel Rhagio,,,https://waarneming.nl/download/Rhagio.pdf,https://web.archive.org/web/20210610000936/https://waarneming.nl/download/Rhagio.pdf,online,,,Leuke Vliegen,,,,,,,4,,nl-NL,,key,Rhagio,,"Europe, Netherlands",TRUE,species,,,,,,,,,,,,
B45,Veldgids Dazen (Diptera - Tabanidae) van Noordwest-Europa,Theo Zeegers; André Schulten,,https://waarneming.nl/download/DAZEN%20nw-europa%20TZ_AS_2019.pdf,https://web.archive.org/web/20210127165258/https://waarneming.nl/download/DAZEN%20nw-europa%20TZ_AS_2019.pdf,online,,,Leuke Vliegen,,,,,,,59,,nl-NL,<CC-BY-SA?>,key; reference,Tabanidae,,"Europe, Northwest",TRUE,species,,,,,,,,,,,,
B46,Veldtabel blaaskopvliegen van Nederland (Diptera: Conopidae),John T Smit,,https://waarneming.nl/download/Veldtabel_blaaskopvliegen_tel.pdf,https://web.archive.org/web/20210610002154/https://waarneming.nl/download/Veldtabel_blaaskopvliegen_tel.pdf,online,2013,EIS,Leuke Vliegen,,,,,,,32,,nl-NL,,key,Conopidae,,"Europe, Netherlands",TRUE,species,,,,,,,,,,,,
B47,Conopidae of Northwest Europe,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/conopidae/index.html,https://home.hccnet.nl/mp.van.veen/conopidae/ConGenera.html,,online,2010,,,,,,,,,,,en,,key,Conopidae,,"Europe, Benelux; Europe, UK",TRUE,species,,,,,,,,,,,,
B48,Die Raupenfliegen (Diptera: Tachinidae) Mitteleuropas: Bestimmungstabellen und Angaben zur Verbreitung und Ökologie der einzelnen Arten,Hans-Peter Tschorsnig; Benno Herting,https://www.biodiversitylibrary.org/part/41664,https://www.biodiversitylibrary.org/page/33533805,,print,1994,Staatliches Museum für Naturkunde,Stuttgarter Beiträge zur Naturkunde,,,,,506,,,,de,CC-BY-NC-SA-3.0,key; reference,Tachinidae,,"Europe, Central",TRUE,species,,,,,,,,,,,,
B49,Zoekkaart Roofvliegen (Asilidae),,,https://waarneming.nl/download/zoekkaart-roofvliegen.pdf,https://web.archive.org/web/20210610072945/https://waarneming.nl/download/zoekkaart-roofvliegen.pdf,online,2014,,Leuke Vliegen,,,,,,,2,,nl-NL,,reference,Asilidae,,"Europe, Netherlands",FALSE,species,,,,,,,,,,,,
B50,Determination keys and field guides,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/fe_ento.html,https://home.hccnet.nl/mp.van.veen/fe_ento.html,,online,,,,,,,,,,,,en,,collection,Insecta; Gastropoda,,"Europe, Netherlands",FALSE,,,,,,,,,,,,,
B51,Determinatiesleutels en kenmerkengidsen,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/fnl_ento.html,https://home.hccnet.nl/mp.van.veen/fnl_ento.html,,online,,,,,,,,,,,,nl-NL,,collection,Insecta; Gastropoda,,"Europe, Netherlands",FALSE,,,,,,,,,,,,,
B52,Kenmerkengids Nederlandse libellen,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/libellen/Index.html,https://home.hccnet.nl/mp.van.veen/libellen/Index.html,,online,2008,,,,,,,,,,,nl-NL,<CC-BY-ND-SA?>,key; reference,Odonata,,"Europe, Netherlands",TRUE,species,B50; B51; B661,,,,,,,,,,,
B53,Kenmerkengids Sprinkhanen en krekels van West- en Midden-Europa,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/sprinkhanen/sprinkhanen.html,https://home.hccnet.nl/mp.van.veen/sprinkhanen/sprinkhanen.html,,online,2009,,,,,,,,,,,nl-NL,,key; reference,Orthoptera,,"Europe, Netherlands; Europe, Belgium",TRUE,species,B50; B51,,,,,,,,,,,
B54,Rhagionidae and Athericidae of Northwest Europe,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/KEYS/Rhagionidae/Rhagionidae.html,https://home.hccnet.nl/mp.van.veen/KEYS/Rhagionidae/Rhagionidae.html,,online,2008,,,,,,,,,,,en,,key,Rhagionidae; Athericidae,,"Europe, Northwest",TRUE,species,B50; B51,,,,,,,,,,,
B55,Therevidae of Northwest Europe,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/therevidae/therevidae.html,https://home.hccnet.nl/mp.van.veen/therevidae/therevidae.html,,online,2015,,,,,,,,,,,en,,key,Therevidae,,"Europe, Northwest",TRUE,species,B50; B51,,,,,,,,,,,
B56,Bee-flies (Diptera: Bombyliidae) of Northwest Europe,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/bombyliidae/index.html,https://home.hccnet.nl/mp.van.veen/bombyliidae/bombgen.html,,online,2008,,,,,,,,,,,en,,key,Bombyliidae,,"Europe, Northwest",TRUE,species,B50; B51,,,,,,,,,,,
B57,Xylophagidae,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/kleinefamilies/XYLOPHAG_e.HTM,https://home.hccnet.nl/mp.van.veen/kleinefamilies/XYLOPHAG_e.HTM,,online,,,,,,,,,,,,en,,key,Xylophagidae,,"Europe, Northwest",TRUE,species,B50; B51; B661,,,,,,,,,,,
B58,Coenomyiidae,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/kleinefamilies/COENO_NW.HTM,https://home.hccnet.nl/mp.van.veen/kleinefamilies/COENO_NW.HTM,,online,,,,,,,,,,,,nl-NL,,key,Coenomyiidae,,"Europe, Northwest",TRUE,species,B50; B51,,,,,,,,,,,
B59,Eenvoudige schelpen determinatie,Mark P van Veen,https://home.hccnet.nl/mp.van.veen/Schelpen/,https://home.hccnet.nl/mp.van.veen/Schelpen/start.html,,online,2003-05-20,,,,,,,,,,,nl-NL,,key,Mollusca,,"Europe, Netherlands",FALSE,species,B50; B51,,,,,,,,,,,
B60,Hoverflies of Northwest Europe: Identification Keys to the Syrphidae,Mark P van Veen,https://brill.com/view/title/25546,,,online,2014-06-24,Brill,,,9789004274495,10.1163/9789004274495,,,,,,en,,key,Syrphidae,,"Europe, Northwest",TRUE,species,,,,,,,,,,,,
B61,Hoverflies of Northwest Europe: Identification Keys to the Syrphidae,Mark P van Veen,https://brill.com/view/title/25546,,,print,2010,Brill,,,9789050111997,,,,,248,,en,,key,Syrphidae,,"Europe, Northwest",TRUE,species,,,,,,,,,,,,
B62,Fotogids Larven van Libellen,Christophe Brochard; Ewoud van der Ploeg,,,,print,2014-12-01,KNNV Uitgeverij,,,9789050114868,,,,,239,,nl-NL,,reference,Odonata,nypmhs,"Europe, Northwest",TRUE,species,,,,,,,,,,,,
