name,id,qid,display_name,full_names,duplicate_of
Les Presses Universitaires de France,P103,,Les Presses Universitaires de France,,
Librairie de la Faculte des Sciences,P104,,Librairie de la Faculte des Sciences,,
Lipsius & Tischer,P232,Q93118951,Lipsius & Tischer,,
Lutra,P258,Q136225923,lutra,lutra Verlags- und Vertriebsgesellschaft,
M. de Waal,P105,Q108922424,M. de Waal,,
MNHN; Muséum national d’Histoire naturelle; Publications Scientifiques du Muséum national d’Histoire naturelle; Muséum National d'Histoire Naturelle,P106,Q838691,Muséum national d'histoire naturelle,,
Magnolia Press,P107,Q15088586,Magnolia Press,,
Magyar Entomologiai Társaság,P257,Q37287011,Magyar Entomologiai Társaság,,
Manaaki Whenua,P108,Q1801980,Manaaki Whenua – Landcare Research,,
Masson,P109,Q3579423,Masson,,
Maximilian Schwarz,P110,Q21337627,Maximilian Schwarz,,
"Ministerio de Agricultura, Pesca y Alimentación",P111,Q3032313,"Ministerio de Agricultura, Pesca y Alimentación de España",,
Museo Civico di Scienze Naturali di Brescia,P112,Q55375855,Museo Civico di Scienze Naturali di Brescia,,
Museo Nacional de Ciencias Naturales,P113,Q1966699,Museo Nacional de Ciencias Naturales,,
Museo Regionale di Scienze Naturali Torino,P114,Q3328399,Museo Regionale di Scienze Naturali Torino,,
Museo civico di storia naturale,P115,Q55376879,Museo civico di Storia naturale di Morbegno,,
Museu Paraense Emílio Goeldi,P233,Q3328425,Museu Paraense Emílio Goeldi,MPEG,
Museum Witt,P116,Q322160,Museum Witt,,
Muzeum i Instytut Zoologii; Museum and Institute of Zoology PAS,P119,Q6940705,Muzeum i Instytut Zoologii,Museum and Institute of Zoology of the Polish Academy of Sciences,
Muséum d'histoire naturelle,P117,Q663025,Muséum d'histoire naturelle,Muséum d'histoire naturelle de Genève,
Muséum d'histoire naturelle de Nantes,P118,Q2398539,Muséum d'histoire naturelle de Nantes,,
Münchner Entomologische Gesellschaft,P120,Q106835531,Münchner Entomologische Gesellschaft,,
NAP Éditions,P121,Q107608960,NAP Éditions,,
NEV; Nederlandse Entomologische Vereniging,P122,Q4318572,NEV,Nederlandse Entomologische Vereniging,
NJN; Nederlandse Jeugdbond voor Natuurstudie; Uitgave van de insectencommissie der NJN,P123,Q2772088,NJN,Nederlandse Jeugdbond voor Natuurstudie,
NORD Universitet,P124,Q21079372,NORD Universitet,,
NTNU Vitenskapsmuseet,P125,Q1770886,NTNU Vitenskapsmuseet,,
"National Museum, Prague; Národního musea v Praze",P126,Q188112,National Museum of Prague,Národní muzeum v Praze,
Natur-Museum Luzern,P127,Q1275772,Natur-Museum Luzern,,
Natura Optima Dux Foundation,P259,,Natura optima dux Foundation,,
"Natural History Museum; Natural History Museum, London",P128,Q309388,Natural History Museum,,
Natural History Survey Division,P129,Q5999587,Illinois Natural History Survey,,
Naturalis,P130,Q641676,Naturalis Biodiversity Center,NBC; Naturalis,
Naturbuch; Naturbuch Verlag,P131,Q107614205,Naturbuch Verlag,,
Naturforschende Gesellschaft Augsburg,P132,,Naturforschende Gesellschaft Augsburg,,
Naturhistorische Verein der Rheinlande und Westfalens,P234,Q1970324,Naturhistorischer Verein der Rheinlande und Westfalens,,
Naturhistorischen Museums,P133,Q688704,Naturhistorischen Museums,,
Naturhistorischen Museums Bern,P134,Q1286799,Naturhistorisches Museum Bern,,
Naturhistorisk museum,P135,Q1840963,Naturhistorisk museum,,
Naturkundemuseums Görlitz; Senckenberg,P136,Q2269936,Senckenberg Museum für Naturkunde Görlitz,Naturkundemuseum Görlitz,
Natuurhistorisch Genootschap Limburg; Stichting Natuurpublicaties Limburg,P137,Q2854861,Natuurhistorisch Genootschap Limburg,Stichting Natuurpublicaties Limburg,
Natuurmuseum Brabant,P138,Q1889816,Natuurmuseum Brabant,,
Natuurpunt De Bron,P139,,Natuurpunt De Bron,,
Nauka,P140,Q248326,Nauka,,
Nederlandse Malacologische Vereniging,P141,Q2380282,Nederlandse Malacologische Vereniging,,
Nederlandse Mycologische Vereniging,P142,Q646698,Nederlandse Mycologische Vereniging,,
Nederlandse Voedsel- en Warenautoriteit,P143,Q2200046,NVWA,Nederlandse Voedsel- en Warenautoriteit,
Newnes Books,P144,Q84709400,George Newnes Limited,,
Noordboek,P261,,Noordboek,,
Noordhoff; Wolters-Noordhoff,P145,Q1900088,Noordhoff,Noordhoff Uitgevers,
Norsk Entomologisk Forening,P146,Q11210487,Norsk Entomologisk Forening,,
Norsk institutt for naturforskning,P147,Q11004196,Norsk institutt for naturforskning,,
OUP; Oxford University Press,P148,Q217595,Oxford University Press,OUP,
Office pour l'information entomologique; Office pour les insectes et leur environnement,P149,Q16667844,Office pour l'information entomologique,Office pour les insectes et leur environnement,
Oregon Department of Agriculture,P150,Q7101163,Oregon Department of Agriculture,,
Otto H Wrede,P249,,Otto H. Wrede,,
P. Noordhoff,P151,Q2552441,P. Noordhoff,,
Paul Lechevalier,P152,Q113628896,Paul Lechevalier et Fils,,
Pelagic Publishing,P153,Q107906800,Pelagic Publishing,,
Pensoft; Pensoft Publishers,P154,Q19370762,Pensoft Publishers,,
Polish Entomological Society,P155,Q11822758,Polish Entomological Society,,
Polska Akademia Nauk,P156,Q651690,Polska Akademia Nauk,,
Projet BELBEES,P157,,Projet BELBEES,,
R. Friedländer und sohn,P158,Q107575865,R. Friedländer & Sohn,R. Friedländer und Sohn,
RAVON,P159,Q110753810,RAVON,Reptielen Amfibieën Vissen Onderzoek Nederland,
RBINS,P222,,RBINS,,
Ray Society,P160,Q7298127,Ray Society,,
Real Sociedad Española de Historia Natural,P161,Q9067102,Real Sociedad Española de Historia Natural,,
Richard Wright,P162,,Richard Wright,,
Richmond Publishing Co Ltd,P163,Q133884419,Richmond Publishing,The Richmond Publishing Co Limited,
Royal Entomological Society; Royal Entomological Society of London,P164,Q673864,Royal Entomological Society,RES,
Rutilans,P165,Q107390520,ACOREP-France,Rutilans,
SAPOLL,P166,Q133884476,SAPOLL,,
SVSN,P221,Q108532793,SVSN,Société Vaudoise des Sciences Naturelles,
Scandinavian Science Press,P167,,Scandinavian Science Press,Scandinavian Science Press Limited,
Schmalhausen Institute of Zoology,P168,Q12074617,I. I. Schmalhausen Institute of Zoology,,
Schweizerbart,P169,Q5322148,Schweizerbart Science Publishers,E. Schweizerbart’sche Verlagsbuchhandlung,
Schweizerische Entomologische Gesellschaft,P170,Q61764338,Schweizerische Entomologische Gesellschaft,SEG,
Science Herald,P171,Q107614001,Science Herald,,
Sectie Hymenoptera,P172,,Sectie Hymenoptera,,
Senckenberg Deutsches Entomologisches Institut; Senckenberg German Entomological Institute,P173,Q472839,Senckenberg Deutsches Entomologisches Institut,Senckenberg German Entomological Institute,
Senckenberg Gesellschaft für Naturforschung; Senckenbergische Naturforschende Gesellschaft; Senckenbergischen Naturforschenden Gesellschaft,P174,Q880568,Senckenberg Gesellschaft für Naturforschung,Senckenberg Nature Research Society,
Slezské muzeum,P235,Q651366,Slezské zemské muzeum,Silesian Museum; Slezské muzeum,
Slezský ústav ČSAV,P236,Q101002744,Slezský ústav Slezského zemského muzea,Silesian Institute of the Czechoslovak Academy of Sciences; Silesian Institute of the Silesian Regional Museum; Slezský ústav Československé akademie věd,
Smithsonian Institution Press,P175,Q87722563,Smithsonian Institution Press,,
Sociedad Entomológica Aragonesa,P266,Q93086362,Sociedad Entomológica Aragonesa,SEA,
Sociedad Española de Historia Natural,P237,Q105046909,Sociedad Española de Historia Natural,SEHN,
Societas Entomologica Helsingforsiensis,P238,Q121598135,Societas Entomologica Helsingforsiensis,Suomen Hyönteisseura; Entomological Society of Finland,
Società veneziana di scienze naturali,P176,Q61883909,Società veneziana di scienze naturali,Venetian Society of Natural Sciences,
Société Française d'Odonatologie,P177,Q3488293,Société Française d'Odonatologie,,
Société Linnéenne de Lyon,P178,Q3488460,Société linnéenne de Lyon,,
Société entomologique de France,P179,Q519896,Société entomologique de France,,
Société française d'entomologie,P239,Q135185319,Société française d'entomologie,,
Spektrum,P180,Q2308858,Spektrum-Verlag,,
Sportvisserij Nederland,P181,Q2556907,Sportvisserij Nederland,,
Springer; Springer Nature,P182,Q21096327,Springer Nature,,
