name,id,qid,display_name,full_names,duplicate_of
C M Steenberg,A1111,Q59559584,Carl Marinus Steenberg,,
Jeroen van Steenis,A1112,Q27922080,Jeroen van Steenis,,
Wouter van Steenis,A1113,,Wouter van Steenis,,
Constantí Stefanescu,A1114,Q95987496,Constantí Stefanescu,,
Ana Stefanović,A1115,,Ana Stefanović,,
Jennifer Steill,A1116,,Jennifer Steill,,
K Stephensen,A1117,Q21340384,Knud Stephensen,Knud Hensch Stephensen,
Mark I Stevens,A1118,Q21774043,Mark I Stevens,,
Kathleen Stewart,A1119,,Kathleen Stewart,,
Herman Stitz,A1120,Q21340999,Hermann Stitz,,
Roland Stockmann,A1121,,Roland Stockmann,,
Eric Stoffelen,A1122,,Eric Stoffelen,,
Ingvar Stol,A1123,,Ingvar Stol,,
Jakub Straka,A1124,Q21393594,Jakub Straka,,
Malin Strand,A1125,Q22105751,Malin Strand,,
Gerhard Strauß,A1126,Q111424768,Gerhard Strauß,,
Jean-Claude Streito,A1127,Q95385171,Jean-Claude Streito,,
Karim Strohriegl,A1128,,Karim Strohriegl,,
Ph Stroot,A1129,,Philippe Stroot,,
H L G Stroyan,A1130,Q107384222,Henry Lindsay Gray Stroyan,,
Alan E Stubbs,A1131,Q22105263,Alan E Stubbs,,
Pascal Stucki,A1132,,Pascal Stucki,,
F van Stuivenberg,A1133,,F van Stuivenberg,,
Gunilla Ståhls,A1134,Q21341630,Gunilla Ståhls,,
Emil Stöckhert,A1135,Q107664199,Emil Stöckhert,Emil Stoeckhert,
Luis S Subías,A1136,Q21391325,Luis Santos Subías,Luis Santos Subías Esteban,
John B Sugau,A1137,Q19002418,John B Sugau,,
Darwyn Sumner; Darwyn P Sumner,A1138,,Darwyn P Sumner,,
Per Sundberg,A1139,,Per Sundberg,,
Sebastian Sundberg,A1140,Q96084623,Sebastian Sundberg,,
P J Suter,A1141,Q21394261,Phillip John Suter,,
Joke De Sutter,A1142,,Joke De Sutter,,
Bo W Svensson,A1143,,Bo W Svensson,,
Lars Svensson,A1144,Q1806338,Lars Svensson,Lars Gunnar Georg Svensson,
C van Swaay,A1145,Q61161162,Chris van Swaay,Chris M A van Swaay,
Daniel R Swanson,A1146,Q30176375,Daniel R Swanson,,
SwissLepTeam,A1147,,SwissLepTeam,,
Francisco Javier Ortiz-Sánchez,A1148,,Francisco Javier Ortiz-Sánchez,,
Eugène Séguy,A1149,Q3060185,Eugène Séguy,,
Yves Séméria,A1150,Q3573974,Yves Séméria,,
Geir E E Søli; Geir Søli,A1151,Q30101445,Geir Søli,Geir E E Søli,
Gerrian Tacoma,A1152,,Gerrian Tacoma,,
Andreas Taeger,A1153,Q21073953,Andreas Taeger,,
Anne Helene Solberg Tandberg,A1154,Q47494227,Anne Helene Solberg Tandberg,,
Dariusz Tarnawski,A1155,Q21340611,Dariusz Tarnawski,,
Mike Taylor,A1156,Q22108039,Mike Taylor,,
George Taylor,A1157,Q2753575,George Taylor,,
Norman Tebble,A1158,Q58175942,Norman Tebble,,
David Tempelman,A1159,,David Tempelman,,
Gaston Tempère,A1160,Q47494139,Gaston Tempère,,
Michaël Terzo,A1161,Q26849502,Michaël Terzo,,
François Teyssié,A1162,,François Teyssié,,
N Thew,A1163,,Nigel Thew,,
Ralf Thiel,A1164,Q21389358,Ralf Thiel,,
Johan B M Thissen,A1165,,Johan B M Thissen,,
J A Thomas,A1166,Q107614972,John Arlen Thomas,,
Richard Thomas Thompson,A1167,Q21389996,Richard Thomas Thompson,,
Shaun Thompson,A1168,,Shaun Thompson,,
Philippe Thorens,A1169,,Philippe Thorens,,
N Thys,A1170,,N Thys,,
André Théry,A1171,Q19360767,André Théry,,
Pierre Goeldlin de Tiefenau,A1172,Q99307286,Pierre Goeldlin de Tiefenau,,
Leonie Tijsma,A1173,,Leonie Tijsma,,
Pierre Tillier,A1174,,Pierre Tillier,,
Einar Timdal,A1175,Q21339242,Einar Timdal,,
Koen Timmers,A1176,,Koen Timmers,,
Li Tingjing,A1177,Q25442457,Li Tingjing,,
Wolfgang Tobias,A1178,,Wolfgang Tobias,,
H Tolkamp,A1179,,Harry Tolkamp,,
Søren Tolsgaard,A1180,,Søren Tolsgaard,,
Dick van den Tooren,A1181,,Dick van den Tooren,,
Charles Edward Tottenham,A1182,Q26720893,Charles Edward Tottenham,,
Reinhold Treiber,A1183,,Reinhold Treiber,,
Przemysław Trojan,A1184,Q16592220,Przemysław Trojan,,
Jesús Souza Troncoso,A1185,,Jesús Souza Troncoso,,
John W H Trueman,A1186,Q21076328,John W H Trueman,,
The Shark Trust,A1187,Q7489815,The Shark Trust,,
