name,id,qid,rank,gbif,children_gbif,ancestors_gbif,duplicate_of
Angiospermae,T54,Q25314,subphylum,,196; 220,6; 7707728,
Animalia,T55,Q729,kingdom,1,,,
Anisoedessa,T56,Q133455789,genus,10710856,,1; 54; 216; 809; 9650,
Anisopodidae,T57,Q1404907,family,7271,,1; 54; 216; 811,
Anisops,T1254,Q18107215,genus,2020496,,1; 54; 216; 809; 4322,
Annelida,T58,Q25522,phylum,42,,1,
Anobiidae,T59,Q574725,family,7770,,1; 54; 216; 1470,
Anoeciinae,T60,Q33142175,subfamily,,2076073; 4386652; 4386662,1; 54; 216; 809; 3042,
Anomaloninae,T61,Q4034074,subfamily,,1273605; 1274957; 1275338; 1276050; 1276538; 1276838; 1277083; 1277423; 1278255; 1280622; 1282811; 1283034; 1283353; 1284160; 1289864; 1291998; 1294253; 1295981; 1299382; 1301970; 1302248; 1303249; 1303455; 1303584; 1303624; 1303841; 1303887; 1304129; 1304240; 1304717; 1305180; 1305313; 1305545; 1305608; 1305744; 1305800; 1306152; 1306954; 1307623; 1307872; 1308248; 1308748; 5031993; 9023861,1; 54; 216; 1457; 3512,
Anommatidae,T1204,Q8200351,family,,4406283; 1044341; 4762053,1; 54; 216; 1470,
Anomura,T62,Q526867,infraorder,,3862; 4531; 4558; 8032; 8033; 8146; 8660; 4304410; 4646445; 4649041; 4806262; 8519369; 8570922; 8633902; 10008586,1; 54; 229; 637,
Anoplura,T63,Q26870,suborder,,4362; 4363; 4364; 4367; 7927,1; 54; 216; 7612838,
Anseriformes,T64,Q21651,order,1108,,1; 44; 212,
Anteon pinetellum,T65,Q14593225,species,4493256,,1; 54; 216; 1457; 4340; 9146949,
Antepipona,T66,Q4034104,genus,1328604,,1; 54; 216; 1457; 4240,
Antheminia,T1409,Q4034113,genus,4407209,,1; 54; 216; 809; 9650,
Anthicidae,T67,Q887250,family,7771,,1; 54; 216; 1470,
Anthidiellum,T68,Q14458686,genus,1338847,,1; 54; 216; 1457; 7911,
Anthidium,T69,Q1460174,genus,1334798,,1; 54; 216; 1457; 7911,
Anthocerotophyta,T70,Q191156,phylum,13,,6,
Anthocoridae,T1205,Q886328,family,7876,,1; 54; 216; 809,
Anthocoris,T1255,Q2852757,genus,2020842,,1; 54; 216; 809; 7876,
Anthomyidae,T71,Q886235,family,3330,,1; 54; 216; 811,
Anthophila,T72,Q7391,epifamily,,4334; 7901; 7911,1; 54; 216; 1457,
Anthophora,T73,Q597952,genus,1337506,,1; 54; 216; 1457; 4334,
Anthophoridae,T74,Q574272,family,4674956,,1; 54; 216; 1457; 4334,
Anthozoa,T75,Q28524,class,206,,1; 43,
Anthribidae,T76,Q906802,family,4206,,1; 54; 216; 1470,
Anura,T77,Q53636,order,952,,1; 44; 131,
Aphelinidae,T1206,Q2035648,family,5503,,1; 54; 216; 1457,
Aphelocheirus,T1343,Q974786,genus,3265576,,1; 54; 216; 809; 3265575,
Aphididae,T78,Q1354085,family,3042,,1; 54; 216; 809,
Aphidiidae,T79,Q1953246,family,4675977,,1; 54; 216; 1457; 6910,
Aphidina,T80,Q21445968,subtribe,,2070063; 2070207,1; 54; 216; 809; 3042,
Aphidinae,T81,Q4034183,subfamily,,2075786; 4384481; 4384483; 4384485; 4385654; 4386898; 11378248,1; 54; 216; 809; 3042,
