scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B179:1:64,Saprinus aeneus (Fabricius),(Fabricius),Saprinus,,aeneus,,species,,B179:1,accepted,,,B179:1:62,Saprinus Erichson,,,,,Histeridae,,Saprinus,,Histeroidea | Histeridae | Saprinus,7WS39,4432988
B179:1:65,Saprinus immundus (Gyllenhal),(Gyllenhal),Saprinus,,immundus,,species,,B179:1,accepted,,,B179:1:62,Saprinus Erichson,,,,,Histeridae,,Saprinus,,Histeroidea | Histeridae | Saprinus,7WS5Q,4432917
B179:1:66,Saprinus semistriatus (Scriba),(Scriba),Saprinus,,semistriatus,,species,,B179:1,accepted,,,B179:1:62,Saprinus Erichson,,,,,Histeridae,,Saprinus,,Histeroidea | Histeridae | Saprinus,7WS7M,4432936
B179:1:67,Saprinus cuspidatus Ihssen,Ihssen,Saprinus,,cuspidatus,,species,,B179:1,accepted,,,B179:1:62,Saprinus Erichson,,,,,Histeridae,,Saprinus,,Histeroidea | Histeridae | Saprinus,,4432929
B179:1:68,"Saprinus subnitescens Bickhardt, 1909","Bickhardt, 1909",Saprinus,,subnitescens,,species,,B179:1,accepted,,,B179:1:62,Saprinus Erichson,,,,,Histeridae,,Saprinus,,Histeroidea | Histeridae | Saprinus,7WS83,1044810
B179:1:69,"Saprinus meridionalis Ihssen, 1949","Ihssen, 1949",Saprinus,,meridionalis,,species,,B179:1,synonym,B179:1:68,"Saprinus subnitescens Bickhardt, 1909",,,,,,,Histeridae,,Saprinus,,Histeroidea | Histeridae | Saprinus,,4432946
B179:1:70,Teretrius Erichson,Erichson,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Teretrius,,Histeroidea | Histeridae,63VFK,1044941
B179:1:71,Teretrius picipes (Fabricius),(Fabricius),Teretrius,,picipes,,species,,B179:1,accepted,,,B179:1:70,Teretrius Erichson,,,,,Histeridae,,Teretrius,,Histeroidea | Histeridae | Teretrius,,8664320
B179:1:72,Abraeus Leach,Leach,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Abraeus,,Histeroidea | Histeridae,8NL6N,1044803
B179:1:73,Abraeus globosus (J. J. Hoffmann),(J. J. Hoffmann),Abraeus,,globosus,,species,,B179:1,accepted,,,B179:1:72,Abraeus Leach,,,,,Histeridae,,Abraeus,,Histeroidea | Histeridae | Abraeus,,8620272
B179:1:74,Abraeus granulum Erichson,Erichson,Abraeus,,granulum,,species,,B179:1,accepted,,,B179:1:72,Abraeus Leach,,,,,Histeridae,,Abraeus,,Histeroidea | Histeridae | Abraeus,7Q8L3,4433517
B179:1:75,Aeletes Horn,Horn,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Aeletes,,Histeroidea | Histeridae,PLG,1044824
B179:1:76,Aeletes atomarius Aubé,Aubé,Aeletes,,atomarius,,species,,B179:1,accepted,,,B179:1:75,Aeletes Horn,,,,,Histeridae,,Aeletes,,Histeroidea | Histeridae | Aeletes,7QD5D,4433561
B179:1:77,Acritus atomarius (Aubé),(Aubé),Acritus,,atomarius,,species,,B179:1,synonym,B179:1:76,Aeletes atomarius Aubé,,,,,,,Histeridae,,Aeletes,,Histeroidea | Histeridae | Aeletes,,10223754
B179:1:78,Acritus LeConte,LeConte,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Acritus,,Histeroidea | Histeridae,8NLFB,1044947
B179:1:79,Acritus nigricornis (J. J. Hoffmann),(J. J. Hoffmann),Acritus,,nigricornis,,species,,B179:1,accepted,,,B179:1:78,Acritus LeConte,,,,,Histeridae,,Acritus,,Histeroidea | Histeridae | Acritus,7QBLD,1044952
B179:1:80,Acritus homoeopathicus Wollaston,Wollaston,Acritus,,homoeopathicus,,species,,B179:1,accepted,,,B179:1:78,Acritus LeConte,,,,,Histeridae,,Acritus,,Histeroidea | Histeridae | Acritus,7QBN7,4433525
B179:1:81,Halacritus Schmidt,Schmidt,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Halacritus,,Histeroidea | Histeridae,4SMJ,1044543
B179:1:82,Halacritus punetum (Aubé),(Aubé),Halacritus,,punetum,,species,,B179:1,accepted,,,B179:1:81,Halacritus Schmidt,,,,,Histeridae,,Halacritus,,Histeroidea | Histeridae | Halacritus,6KXNJ,4308852
B179:1:83,Acritus punetum (Aubé),(Aubé),Acritus,,punetum,,species,,B179:1,synonym,B179:1:82,Halacritus punetum (Aubé),,,,,,,Histeridae,,Halacritus,,Histeroidea | Histeridae | Halacritus,,11253449
